context,0,1,2,3,4,5,6,7,8,9
car,9.069667,7.546796,10.764608,7.65087,8.757323,7.8527613,9.315165,8.4701185,11.151716,7.790828
chill,12.165398,11.614446,15.212206,13.801319,12.80777,13.463787,14.27448,12.26297,14.266113,11.69552
club,9.398502,7.474471,8.520629,8.933098,6.7689195,6.25819,6.2401557,6.654716,8.393251,7.2981477
dance,13.2506,11.892373,12.184019,12.185361,11.948967,10.575721,11.556975,11.918106,13.10003,12.431072
gym,9.280566,8.006095,9.745232,9.102062,7.7529864,8.071234,9.435552,9.620592,11.058358,9.094182
happy,7.138548,5.488756,7.38592,6.6326175,8.049365,8.09334,7.729323,8.36254,9.299636,6.7060795
night,10.42869,9.263218,10.049549,8.050305,7.689074,10.432873,9.17126,9.015599,9.713029,7.796303
party,12.505011,11.448255,12.707992,11.502445,12.101884,10.721224,12.070242,12.332875,12.951865,12.211983
relax,8.164575,7.073774,8.205673,8.930483,7.7496734,9.477387,8.372136,6.9292555,11.004774,7.668871
running,9.587567,6.877877,9.017297,8.385492,7.098565,8.231124,8.806296,9.054024,10.276386,7.5412602
sad,6.9389415,8.642217,7.3768344,7.992137,7.365626,6.949926,8.661873,7.7698364,9.584296,5.4582324
sleep,8.708778,7.8350477,7.2917976,6.9793077,6.7690554,6.996921,9.308715,5.84835,8.581096,7.764624
summer,11.560942,8.018379,11.406745,10.191487,9.501722,10.047109,11.4252,10.571781,10.998392,8.7552805
work,8.651866,8.287603,10.942547,7.9605737,8.68582,9.121889,8.970144,8.445817,11.32693,9.023413
workout,7.2913,6.922174,8.275251,7.5936685,5.8180685,7.1618733,8.2539015,8.505218,8.686505,8.209321
