song_id,label,artist_id,fold
92310738,chill	club	dance	happy	night	party	relax	running	summer	work	workout,4106348,0
129128022,car	chill	club	dance	night	party	running	summer,390,0
541854,car	chill	club	dance	gym	happy	night	party	relax	running	summer	work	workout,2025,2
376989861,car	chill	club	dance	gym	happy	night	party	relax	running	sad	sleep	summer	work	workout,1200692,0
79472617,car	chill	club	dance	gym	night	party	running	summer	work	workout,3852,0
82279478,car	club	dance	gym	party	running	work	workout,139,0
66242075,car	club	dance	gym	party	running	work	workout,289,1
552402,chill	club	dance	gym	happy	night	party	relax	running	summer	work,248,3
71499473,car	chill	club	dance	gym	happy	night	party	relax	running	summer	work	workout,65838,3
368700061,car	chill	club	dance	gym	happy	night	party	running	sleep	summer	work	workout,103369,1
74417630,chill	club	gym	summer	workout,1632837,0
548408432,club	gym,9956746,2
576822232,chill	club	dance	happy	night	party	running	summer,13011,0
432207642,car	chill	club	dance	happy	night	party	relax	running	sad	sleep	summer	work,7042927,2
381335931,club	dance	gym	running	workout,92943,2
102364674,car	chill	club	dance	gym	happy	night	party	relax	running	sad	sleep	summer	work	workout,4549214,1
2149886,car	chill	club	dance	gym	happy	night	party	relax	running	sad	sleep	summer	work	workout,83,3
66472794,club	dance	night	summer,4634422,1
134525902,car	chill	club	dance	gym	happy	night	party	relax	running	sad	sleep	summer	work	workout,75491,0
460476022,car	chill	club	gym	party	summer	work	workout,257128,1
477890512,chill	club	dance	gym	party	running	summer	work,4757864,3
66756023,car	chill	club	dance	gym	happy	night	party	relax	running	summer	work	workout,280627,3
70834770,car	chill	club	dance	gym	happy	night	party	relax	running	sad	sleep	summer	work	workout,793825,3
132615908,car	chill	club	dance	gym	party	work	workout,4050205,2
5754241,club	dance	party	running,74410,0
101529814,chill	club	dance	party	running,4702208,2
882920,car	chill	club	dance	gym	happy	night	party	relax	running	summer	work,4509,2
73517668,car	club	dance	gym	party	running	summer	work	workout,1052497,1
63461128,chill	club	dance	happy	night	party	relax	running	summer,1224045,2
2043943,car	chill	club	dance	gym	happy	night	party	relax	running	sad	sleep	summer	work	workout,4194,1
438501212,car	chill	club	dance	night	party	running	sleep	summer,2845031,1
95585876,car	chill	club	dance	gym	happy	night	party	relax	running	sad	sleep	summer	work	workout,251454,2
113366542,chill	club	dance	gym	night	party	running	summer,282118,3
130414758,chill	club	dance	gym	party	summer,9796172,2
89815713,club	dance	party	summer,541399,3
104622802,car	chill	club	dance	gym	night	party	sad	sleep	summer	work	workout,5575105,2
400602332,chill	club	dance	gym	summer,1181524,0
100651370,car	club	dance	gym	party	running	workout,391237,0
347363781,car	chill	club	dance	gym	happy	night	party	relax	running	sad	sleep	summer	work	workout,163,1
127248277,car	chill	club	dance	gym	happy	night	party	relax	running	sad	sleep	summer	work	workout,6557769,2
81106150,chill	club	dance	gym	night	party	running	summer,3968561,3
443082652,car	chill	club	gym	party	relax	work	workout,4495513,1
2464502,chill	club	dance	night	party	relax	summer,80423,2
103205072,chill	club	dance	gym	party	work	workout,8329806,2
5479982,car	chill	club	dance	gym	party	running	summer	workout,863218,0
426758182,chill	club	gym	party	summer	work	workout,5901877,0
144273854,car	chill	club	dance	happy	party	running	summer	work,8123403,3
7429842,club	dance,6244774,3
313644,chill	club	dance	happy	night	party	relax	running	summer	work,58801,1
104277152,chill	club	dance	gym	happy	night	party	relax	running	summer,262271,2
10770665,club	dance	night	party	summer,83130,1
546583602,car	club	dance	happy	party	running	workout,259,3
3333682,club	dance	gym	party	running	work	workout,2403,1
99556710,car	chill	club	dance	gym	happy	night	party	relax	running	sad	sleep	summer	work	workout,2724281,2
530221071,chill	club	dance	happy	party	running	sad	summer	work,939,2
14214930,car	club	dance	gym	night	party	running	work,13686,2
4209612,car	chill	club	dance	gym	happy	night	party	relax	running	summer	work	workout,290,1
381458141,chill	club	dance	night	party	running	summer,177002,1
120817818,car	chill	club	dance	gym	happy	night	party	relax	running	summer	work	workout,157,0
7164537,club	dance,142381,2
2171456,car	chill	club	dance	gym	happy	night	party	relax	running	sad	sleep	summer	work	workout,663,2
10154617,club	dance	party	summer,2049,1
119682450,car	chill	club	dance	happy	night	party	relax	running	sad	sleep	summer	work	workout,57423,3
347557071,car	chill	club	dance	gym	happy	night	party	relax	running	sad	summer	work	workout,903506,1
130914064,car	chill	club	gym	party	sleep	workout,1590752,3
2511224,car	chill	club	dance	gym	happy	night	party	relax	running	sad	sleep	summer	work	workout,340,0
91599884,car	chill	club	dance	gym	night	party	running	summer	work	workout,382937,1
133379176,club,4330453,2
93026294,car	chill	club	dance	gym	happy	night	party	relax	running	summer,6098396,2
7239011,car	club	dance	gym	happy	night	party	running,15772,3
135980080,car	chill	club	dance	gym	happy	night	party	relax	running	sleep	summer	work	workout,4050205,2
14099367,car	chill	club	dance	gym	night	party	running	work	workout,306898,3
90428591,car	chill	club	dance	gym	happy	night	party	relax	running	sad	sleep	summer	work	workout,145,1
61686262,club	dance	gym	party	summer	work,134973,2
3107326,car	chill	club	dance	gym	happy	night	party	relax	running	summer	work	workout,542,1
135374166,chill	club	dance	happy	night	party	relax	running	summer,9707482,0
128096023,car	chill	club	dance	gym	party	summer	workout,987373,3
3120672,car	chill	club	dance	gym	happy	night	party	summer	work	workout,3,0
64153419,car	club	dance	gym	night	party	running	summer	work	workout,1344388,0
70079414,car	chill	club	dance	gym	party	running	summer	work	workout,65761,0
78669561,car	chill	club	dance	gym	night	party	running	summer	work	workout,5286540,2
68566696,car	club	dance	gym	party	summer	work	workout,1967481,3
357426771,car	chill	club	dance	gym	happy	night	party	relax	running	sad	sleep	summer	work	workout,2005781,3
100423002,club	work,712,3
65492092,car	chill	club	dance	gym	party	running	work	workout,74309,3
569166522,car	chill	club	dance	gym	happy	night	party	relax	running	summer	work	workout,4103977,1
134522360,chill	club	relax	summer,7120815,2
89077549,car	chill	club	dance	gym	happy	night	party	relax	running	sad	sleep	summer	work	workout,12246,0
5093943,car	chill	club	dance	gym	happy	night	party	relax	running	summer	work	workout,2016,0
346460821,club	dance	summer,4504846,0
75457476,club	dance	party,4907362,1
101153636,car	club	dance	gym	night	party	running	summer	work	workout,1353625,0
145609060,club	workout,4087782,0
10424282,car	chill	club	dance	gym	happy	night	party	relax	running	summer	work	workout,1622,1
75805331,car	chill	club	dance	gym	happy	night	party	relax	running	sad	sleep	summer	work	workout,2792,3
82664634,car	chill	club	dance	gym	night	party	running	summer	work	workout,490454,0
15179215,car	chill	club	dance	gym	night	party	relax	running	summer	work	workout,1441142,2
88449443,car	chill	club	dance	gym	happy	night	party	running	summer	work	workout,1052497,1
561855552,car	club,4803754,0
1573881,club	dance	gym	happy	night	party	relax	running	summer,70,1
17135122,car	chill	club	dance	gym	happy	night	party	relax	running	sad	sleep	summer	work	workout,144227,2
130018150,car	chill	club	dance	gym	happy	night	party	relax	running	summer	work	workout,1600286,0
114395862,car	chill	club	dance	gym	happy	night	party	relax	running	sad	sleep	summer	work	workout,4768753,3
100614636,car	chill	club	dance	gym	happy	night	party	relax	running	sad	sleep	summer	work	workout,7213974,2
140857423,chill	club	dance	night	relax	sad	sleep	summer	work,1909641,3
