song_id,label
200756,dance
201354,dance
204074,club	dance
204075,club	dance	party
204076,club	dance	party
204078,dance
204081,dance
204083,dance
206995,club
206996,club
206998,club
206999,club
207006,club
207007,club
207009,club
207013,club
207017,club
207022,club
209377,dance
211678,chill
211798,chill
213130,dance
213473,dance	party
213479,dance
213539,dance	night	party
213540,dance
213542,dance
213543,relax
213545,dance
214993,dance
217337,dance
217349,dance
217350,dance
217351,dance
217352,dance
217353,dance
217356,dance
217358,dance
217360,dance
217465,dance
218751,dance
218753,sleep
218754,dance	happy	night	party	relax
221613,morning
223010,chill
223256,dance
228670,dance	party
235469,dance	party	summer
239070,party
241034,dance
247091,relax
249485,chill	dance
250290,dance
254391,dance	gym
254954,dance
257205,dance
263296,club	dance
263303,dance
263313,dance
263314,dance	party
263316,dance
263325,dance
263326,dance
263327,dance	party
263328,dance
263329,dance
263330,dance
263331,dance
263332,dance
263333,dance	party
263334,dance
263335,dance
263337,dance
263338,dance	party
263339,dance
263341,dance
263344,dance
263346,dance
263350,dance
263360,dance
263416,dance
263418,dance
263419,dance
265142,dance
265143,dance
265144,dance
265145,dance
265146,dance
265147,dance
265148,dance
265149,dance
265150,dance
265151,dance
265152,dance
265153,dance
265154,dance
265155,dance
265156,dance
265157,dance
265158,dance
265159,dance
265160,dance
265161,dance
266779,dance	party
266780,dance	happy
267333,dance
270153,dance	party
271781,chill
271782,chill
271783,chill
271784,chill
271785,chill
271786,chill
271787,chill
271788,chill
271789,chill
271790,chill
271791,chill
271792,chill
271793,chill
271794,chill
271795,chill
271796,chill
280556,dance	party
281581,dance
283608,relax
286428,dance
286429,dance	party
286430,dance	party
286431,dance
286434,dance
286552,dance
286553,dance
286554,dance
286560,dance
286561,dance
286562,dance
286576,dance
286577,dance
286578,dance	party
286579,dance
286588,dance
290181,dance
291907,chill	party	relax
291992,dance	party
291993,dance
292013,dance	running
292061,club	dance	party
292063,dance
294445,dance	party
294448,dance	party
294450,night
294451,dance
295137,dance
297859,dance
304844,dance
304957,chill
309174,chill	dance	gym	happy	party	summer
312108,dance
312121,dance
312132,dance
312134,dance
312141,dance
312144,dance
312161,party
313639,chill	party
313640,chill	dance	happy	morning	night	party	relax	running	summer
313644,chill	dance	party	summer	work
314683,chill
315214,dance
315612,dance
315613,dance
315619,dance
364951,chill	club	dance	happy	night	party	running	summer
364953,dance
364962,dance	night	party
364966,dance	party
365067,car	chill	sad	work
365070,chill	dance	sad	sleep
365137,car	chill	relax	sad	sleep	summer
365155,club	dance	party
365227,club	dance
365268,sad
365341,dance
365342,dance
365344,dance	night	party	running
365418,car
365456,dance
512346,dance
513734,night	party
525800,dance
529742,chill
529743,chill
529744,chill
529745,chill
529746,chill
529747,chill
529748,chill
529749,chill
529750,chill
