song_id,label
92310738,chill	club	dance	happy	night	party	relax	running	summer	work	workout
129128022,car	chill	club	dance	night	party	running	summer
376989861,car	chill	club	dance	gym	happy	night	party	relax	running	sad	sleep	summer	work	workout
79472617,car	chill	club	dance	gym	night	party	running	summer	work	workout
82279478,car	club	dance	gym	party	running	work	workout
74417630,chill	club	gym	summer	workout
576822232,chill	club	dance	happy	night	party	running	summer
134525902,car	chill	club	dance	gym	happy	night	party	relax	running	sad	sleep	summer	work	workout
5754241,club	dance	party	running
400602332,chill	club	dance	gym	summer
100651370,car	club	dance	gym	party	running	workout
5479982,car	chill	club	dance	gym	party	running	summer	workout
426758182,chill	club	gym	party	summer	work	workout
120817818,car	chill	club	dance	gym	happy	night	party	relax	running	summer	work	workout
2511224,car	chill	club	dance	gym	happy	night	party	relax	running	sad	sleep	summer	work	workout
135374166,chill	club	dance	happy	night	party	relax	running	summer
3120672,car	chill	club	dance	gym	happy	night	party	summer	work	workout
64153419,car	club	dance	gym	night	party	running	summer	work	workout
70079414,car	chill	club	dance	gym	party	running	summer	work	workout
89077549,car	chill	club	dance	gym	happy	night	party	relax	running	sad	sleep	summer	work	workout
5093943,car	chill	club	dance	gym	happy	night	party	relax	running	summer	work	workout
346460821,club	dance	summer
101153636,car	club	dance	gym	night	party	running	summer	work	workout
145609060,club	workout
82664634,car	chill	club	dance	gym	night	party	running	summer	work	workout
561855552,car	club
130018150,car	chill	club	dance	gym	happy	night	party	relax	running	summer	work	workout
565056,club	dance	night	party	running
414634862,club	gym
69189760,car	chill	club	dance	gym	night	party	summer	work	workout
90661201,club	dance	party
867061,car	chill	club	dance	gym	happy	night	party	relax	running	summer	work	workout
3090467,car	club	dance	night	party	running	summer
74961888,club	dance
63358012,car	club	dance	gym	running	work	workout
1161682,car	chill	club	dance	gym	happy	night	party	relax	running	sad	sleep	summer	work	workout
2148257,club	dance	happy	party	running	summer	work
71441863,car	chill	club	dance	gym	happy	night	party	relax	running	sad	sleep	summer	work	workout
83756478,car	chill	club	dance	gym	happy	night	party	relax	running	sad	sleep	summer	work	workout
953606,car	chill	club	dance	gym	happy	night	party	relax	running	sad	sleep	summer	work	workout
72273757,car	club	dance	night	party	running	summer
398852652,car	club	dance	gym	party	work	workout
532092,car	chill	club	dance	gym	night	party	running	summer
450531912,chill	club	dance	gym	happy	party	running	summer	workout
87669877,car	chill	club	dance	gym	happy	night	party	running	summer	work
114788494,car	club	dance	gym	party	running	work	workout
62082981,car	chill	club	dance	gym	happy	night	party	relax	running	sad	sleep	summer	work	workout
553370602,club	dance	gym
13558228,car	club	dance	gym	happy	night	party	running	summer	work
79928374,chill	club	dance	party	summer
78977833,car	chill	club	dance	gym	night	party	summer	work	workout
85849773,club	dance	party
141338791,car	club	dance	gym	happy	night	party	running	summer	work	workout
17191428,car	chill	club	dance	happy	night	party	relax	running	sad	sleep	summer	work	workout
461697762,chill	club	party	summer
66881687,car	club	dance	gym	night	party	running	summer	work	workout
83059376,car	chill	club	dance	gym	party	running	summer	work	workout
131743470,car	chill	club	dance	gym	happy	night	party	running	summer	work	workout
127365547,chill	club	dance	happy	night	party	relax	summer
1151554,car	chill	club	dance	happy	night	party	relax	running	sad	sleep	summer
1142583,club	dance	gym	night	party	running	summer
131773322,car	chill	club	dance	gym	happy	night	party	relax	running	sad	sleep	summer	work	workout
722642,car	chill	club	dance	gym	happy	night	party	relax	running	sad	sleep	summer	work	workout
68680585,club	dance	gym
3072020,car	chill	club	dance	night	party	running	summer
69627777,car	chill	club	dance	gym	happy	night	party	relax	running	sad	sleep	summer	work	workout
97971912,car	club	dance	party	running	summer	workout
11747946,car	chill	club	dance	gym	night	party	running	sad	summer	work	workout
